SOCS3,ARG1,ECHS1,TNFAIP3,ALDOA,FCAR,YY1,PML,HLA-DQA1,PIK3R1,FZD2,MAPK3
4.674987402,2.938021808,7.562512673,10.78560121,11.15880318,7.353059308,10.62685491,6.211040303,10.66594226,10.33605288,4.16041423,9.53793465
6.549576257,2.539592168,7.766271948,12.22764816,11.24311128,7.61284115,10.50793897,6.380894422,9.788573898,11.03411445,4.457130008,9.588835687
5.240680299,2.848362876,7.74318064,11.12332335,10.91714115,7.340215973,10.51724786,6.170290971,11.2015097,10.77762128,4.935825717,9.391394696
4.889771257,4.889771257,7.812091893,9.749356138,11.18764899,7.32789237,10.53734574,6.257503042,10.3171179,10.37955449,4.889771257,9.583033373
6.262139247,3.236604155,8.043959077,10.27787217,11.59917423,8.262139247,10.31036319,6.073105423,11.83226126,9.909029497,4.751177328,9.626465926
5.727597864,3.557672863,7.949990286,9.888589741,11.55485234,7.767126228,10.94137716,6.464563458,11.35857276,11.08514987,2.557672863,10.78167454
6.172515276,3.587552776,7.919749206,10.43662272,11.67198156,7.111114732,10.5334146,6.255931285,3.239629472,10.33861857,4.028125367,9.761765136
6.634693519,3.556691007,7.862499437,12.56511963,11.1574299,5.971728506,10.75527247,6.194120928,9.956621614,11.26864471,3.194120928,9.704178619
6.478751747,2.288927189,8.165444135,11.11388593,11.82468857,8.109106151,10.45257686,6.146908184,12.06082927,10.92464531,4.37639003,9.822256921
5.507401481,4.244367075,7.995687962,10.72118077,11.32758044,7.738355916,10.42626472,6.87663529,2.337476479,10.66053124,2.92243898,9.837322366
6.512302277,3.545469141,7.478354945,11.81523338,11.18011521,7.235784642,10.64445824,6.314856213,11.53156974,11.82834696,4.478354945,9.233242447
5.188268015,6.216837168,7.714336827,11.14153325,11.49933512,8.615874188,10.61453277,6.15912167,11.56885895,11.02318145,4.244851544,9.678838146
6.281427767,2.670930174,7.96686306,11.34739103,11.39178515,8.777960384,10.56834349,6.29820348,2.56401497,10.68534923,4.323006871,9.36740099
5.760064926,3.606259589,7.876788532,10.60851204,11.40683598,8.739658715,10.54289753,6.784177382,11.25191802,10.21284987,4.454256496,9.581247701
5.175466744,4.43850115,7.784275987,10.04731039,11.06494029,7.345391746,10.40197527,6.640135011,10.28733271,10.29149874,4.38959155,9.380233495
7.348651742,0.809492931,7.886308528,11.58674825,11.30734477,7.786772854,10.72686501,6.301346027,10.38692176,10.55600725,3.979417932,9.85388705
5.285894562,2.53100706,7.788394902,11.53803433,10.99453143,7.888559064,10.64865016,6.203432401,11.15854094,11.17576465,4.778934573,9.519691746
5.857581353,3.495011273,7.664936275,11.48003997,11.01127411,6.331512541,10.66565172,6.495011273,10.83740347,11.1522021,4.14708797,9.682009788
6.203710371,4.918308152,7.005770993,12.28463037,11.12654251,8.860822657,10.3684884,6.185094693,2.503270653,12.30444009,3.503270653,9.000457193
6.73417558,4.997209986,7.568751971,11.03063299,11.06807632,8.758022322,10.37803177,6.634639907,3.827284985,11.21422523,4.412247485,9.131065733
7.461482211,4.346004994,7.602344747,12.73066884,11.21362695,9.176079992,10.63960437,6.424007506,3.176079992,11.37206729,4.635511611,9.395248513
5.869477867,5.326950633,7.792073363,12.83887513,11.10945037,7.77493223,10.5532581,6.447244866,11.05190928,11.00367428,3.388351177,9.549902998
6.301584883,5.038550478,7.623512978,11.75004538,11.18422793,7.301584883,10.28647799,6.804085224,5.038550478,11.29026957,4.301584883,9.682406667
7.478098073,5.236023286,7.29047107,12.03642545,11.25753718,8.215063667,10.62171979,6.820985786,2.535583568,11.45220949,3.857511662,9.483950799
7.070325307,2.94562956,7.80912756,11.9091679,11.28547956,7.419560748,10.42944534,6.729900869,1.775704558,10.95063024,3.097632653,9.486510992
7.076560971,2.781940222,7.563299935,12.53306581,10.77841371,8.174257645,10.66534721,6.589295144,3.103868317,11.83008648,3.24137184,9.172109178
7.266886461,3.710493113,7.678312707,13.06402917,11.33469725,8.741971344,10.68709935,6.529920867,10.59816173,11.72959321,3.710493113,9.330389404
6.509410237,5.180102612,7.567125735,11.53945799,10.98415087,7.649587895,10.464556,6.676060107,3.064625394,11.00648813,3.894700393,9.284869349
7.014688194,3.014688194,7.742608649,11.37694515,11.27207604,8.719085926,10.54940794,6.397157831,11.37129736,10.92629418,3.666764891,9.452885978
6.801826128,5.185154768,7.635816177,11.99679705,10.63288089,7.247890523,10.57441563,6.461485996,9.557487816,11.0925796,3.600192267,9.372781771
6.158406025,6.122782116,7.701720829,11.19585254,11.07697843,9.062948866,10.36785939,6.415563865,10.34967593,11.4442593,3.707744616,9.395178625
6.697551984,3.238120365,7.372546685,11.75800229,10.95107719,7.564549852,10.35446433,6.168857702,1.823082866,11.95750919,3.630437788,9.305554726
6.979463938,4.38834921,7.322115512,11.75847771,11.1754146,9.34968759,10.11905883,6.665189416,11.540439,11.14083708,4.594800088,9.0322054
